,Country,Balance,Product,January-2010,February-2010,March-2010,April-2010,May-2010,June-2010,July-2010,August-2010,September-2010,October-2010,November-2010,December-2010,January-2011,February-2011,March-2011,April-2011,May-2011,June-2011,July-2011,August-2011,September-2011,October-2011,November-2011,December-2011,January-2012,February-2012,March-2012,April-2012,May-2012,June-2012,July-2012,August-2012,September-2012,October-2012,November-2012,December-2012,January-2013,February-2013,March-2013,April-2013,May-2013,June-2013,July-2013,August-2013,September-2013,October-2013,November-2013,December-2013,January-2014,February-2014,March-2014,April-2014,May-2014,June-2014,July-2014,August-2014,September-2014,October-2014,November-2014,December-2014,January-2015,February-2015,March-2015,April-2015,May-2015,June-2015,July-2015,August-2015,September-2015,October-2015,November-2015,December-2015,January-2016,February-2016,March-2016,April-2016,May-2016,June-2016,July-2016,August-2016,September-2016,October-2016,November-2016,December-2016,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,July-2022,August-2022,September-2022,October-2022,November-2022,December-2022,January-2023
0,Argentina,Net Electricity Production,"Coal, Peat and Manufactured Gases",35747.047243243236,31617.534054054053,30641.10997297297,26477.536837837837,28396.58124324324,31215.034081081085,34265.82221621622,33667.134270270275,30344.206918918917,29247.016837837837,29670.4082972973,34870.22602702703,35507.04364864865,30205.852432432428,30549.1347027027,26283.686405405413,28208.026864864863,30574.312513513516,33891.10989189189,33240.822,29642.592756756756,28913.048135135126,28925.76891891892,30423.670648648647,30885.387675675676,29618.130729729724,27591.416405405405,24155.76016216216,26179.904945945946,28387.165216216214,33015.64367567568,32157.90848648648,28578.705216216214,28734.913027027025,29818.449351351355,31092.83108108108,32222.23445945946,29165.862864864863,30377.72002702703,26076.495243243244,26758.55156756757,28829.57502702703,32308.22772972973,31827.537432432426,29738.51848648649,28369.01451351352,28442.163297297295,31537.387621621627,33840.27456756757,30376.64878378378,30188.06794594595,25513.98764864865,26409.28735135135,28575.073675675678,31255.379162162157,30936.128108108107,28809.545675675676,27448.3214054054,28411.812135135136,29833.816972972978,195.203,203.211,247.979,254.968,280.55,209.232,267.781,214.414,99.689,269.088,277.518,228.149,202.149,250.337,156.701,59.612,46.442,97.998,263.314,281.984,281.148,173.867,176.455,233.181,212.805,231.919,161.681,276.379,201.56,181.451,222.81,184.201,124.212,148.861,30100.13478,164.896,275.3227,246.1544,288.844,189.0145,137.0785,303.2648,318.1229,277.1856,61.084,46.3964,0.0,0.0,10.3505,123.1177,0.0,0.0,100.0751,149.0908,310.0549,0.0,190.1562,48.021,18.0113,235.9043,61.2653,120.1288,198.4896,0.0,24.4611,98.864,430.8513,320.9284,54.2578,0.0,201.8526,343.7514,244.0148,31.103,179.3354,260.5899,309.8673,267.954,270.7939,268.2275,314.3614,136.3776,272.7731,240.2345,275.1321,219.7473,220.2299,255.5503,216.4407,334.0161,286.1778,195.7609,101.6165,25220.27330930232,90.2309,254.477,298.6224
1,Argentina,Net Electricity Production,Combustible Renewables,1870.687974358974,1716.834487179487,1814.8085384615388,1694.7600769230771,1687.7043333333336,1668.9914358974358,1760.8289743589744,1753.3657692307693,1697.4118461538462,1738.1739743589744,1824.2671538461536,1915.421384615384,2013.0356923076924,1877.6378205128208,1983.420641025641,1738.6343846153845,1750.3932564102563,1724.0116153846152,1839.722846153846,1779.8273076923076,1767.5974102564103,1804.9964102564102,1901.1259999999997,2016.8778717948717,2168.116358974359,2129.5700256410255,2068.328794871795,1913.0731025641023,1889.2402820512823,1856.2873589743588,1969.5643076923084,1999.629230769231,1909.7516923076926,1954.521717948718,2011.8471794871798,2146.022384615385,2318.951974358974,2118.907384615384,2232.925564102564,1982.4324358974357,2004.3256153846155,1896.4413333333334,2073.8849999999998,2105.067564102564,2060.011,2144.653692307692,2194.445512820513,2307.7358461538465,2293.7626250000003,2002.3797250000002,2239.3082749999994,2051.3458250000003,2114.8405250000005,2075.5083000000004,2160.301125,2167.98555,2177.3709,2309.16635,2342.2934750000004,2486.6147,56.234,49.518,86.054,103.722,68.275,102.177,125.307,116.145,120.185,123.486,93.069,76.337,45.439,42.15,47.548,23.65,212.249,577.089,23.406,23.982,43.329,42.081,32.947,25.409,84.491,93.89,102.999,57.947,56.411,109.501,136.696,139.01,148.086,147.137,129.591,97.783,60.912,65.5695,53.7996,56.9715,104.213,146.93,151.345,155.4577,142.5044,123.4445,118.5343,96.7115,67.9746,81.9778,102.9188,97.5631,119.8157,155.9184,159.4721,159.0972,164.1207,160.4772,145.8669,135.7053,114.293,98.9462,115.0912,119.7903,132.1171,192.661,212.4856,226.1044,227.6446,223.5902,228.5295,237.564,140.3715,129.1658,135.9548,137.4805,156.4745,203.2043,197.8072,220.4112,211.5754,215.2662,196.4321,178.0965,178.17,164.5423,164.8761,170.1682,176.8444,185.8822,210.7904,214.1896,197.338,197.4284,187.0969,185.5859,172.4897
2,Argentina,Net Electricity Production,Electricity,35351.247627802695,31560.206650224212,32151.016896860987,28862.530058295968,30230.279869955153,32006.88013901345,34878.61492792793,34624.239990990995,31306.46437219731,30424.01626457399,31056.3290941704,35266.82680269058,36185.623533632286,31718.301327354264,32814.066919282515,29270.98935426009,30284.972968609865,31922.367171171176,35159.958045045045,34399.6654054054,31004.23278026906,30486.79512107623,30884.84169058296,33777.26124215247,34950.67192792793,33100.92553603604,32255.462671171168,29812.355702702702,31184.5709009009,31898.70954054054,35094.864081081076,34355.584855855865,31009.154585585584,30950.396855855855,31319.263797297303,34017.046783783786,35666.732409909906,31921.27644144144,33213.76802702703,30112.416225225224,30631.0878018018,31587.80857657657,34450.66291441441,33814.28474774774,31037.52251801802,31049.812306306307,31729.07382432432,34765.068040540544,36277.70441409691,31781.492647577088,32731.83801321586,29302.95441409692,30164.906039647576,31238.25520704846,33621.65285462556,32963.72903964758,30593.56768722467,30355.613995594715,31111.637559471365,33861.22753744494,12007.063,11283.226,12417.895,10996.635,11578.94,12043.21,12108.865,11284.062,11052.421,10766.231,9905.055,12147.229,12984.29,12699.66,10935.518,10707.574,11813.338,12398.284,12481.242,11164.818,10474.386,10553.205,10394.708,12565.147,13253.674,11701.303,11686.493,10197.063,11017.506,11922.293,12723.283,11523.982,10633.552,10297.892,10407.438,12550.746,13007.681,11934.5735,11686.5512,11380.0037,11077.2941,12715.4039,13408.979,12205.4458,10542.5913,10172.4471,10005.8674,11051.2791,11486.3519,10947.0886,10157.7029,9847.2049,10508.1545,10877.9602,12030.9486,11462.009,10965.4341,11263.9939,11174.5203,11740.9441,12462.5357,11348.4998,12134.0451,9550.5272,10341.3048,11411.0626,12782.5648,11321.6539,10600.5178,10992.2283,11983.6059,12646.0757,13175.0036,10692.2837,11486.6942,10301.762,11543.9669,12885.9549,13262.1593,12902.686,11364.4848,11182.3008,11384.728,13219.1797,14018.948,11194.3161,11770.8415,10452.097,11777.3385,13104.2798,12380.0247,11426.7488,10062.2439,9970.3295,11408.9182,12388.8699,13805.2039
3,Argentina,Net Electricity Production,Geothermal,621.2612857142858,552.0608095238094,627.8123333333333,605.8864761904762,630.6185238095238,594.0435238095239,615.9265238095238,615.3956666666667,591.7345714285714,606.6780476190476,612.0737142857142,657.8060476190475,618.9404090909092,559.9760454545454,639.9635238095238,604.4151428571429,608.8797272727275,581.7280000000001,601.9175909090909,599.0494090909091,572.3821363636363,598.5867727272728,580.5090454545455,619.8527272727272,618.7683181818181,583.4951818181818,621.1131363636364,583.2956363636363,594.1,579.2781818181818,603.1834545454545,589.6791818181817,576.9112727272727,599.5648181818183,595.0032272727273,611.857590909091,624.4486363636364,566.2964999999999,621.7385454545455,592.6729090909092,622.1444545454546,603.6595,623.2244545454545,629.4822272727273,614.3027727272728,633.7482272727274,610.6375454545455,652.5175,661.7205909090909,594.3351818181817,653.8082272727274,642.8861363636364,664.7911363636364,632.1296363636365,662.935909090909,655.3045909090908,624.2466818181819,630.8491363636363,638.1553181818182,694.2596818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.4633619047617,798.0593666666666,916.8277099999999,868.08174,885.523485,838.031215,858.678005,851.2056299999998,837.8907999999999,862.188495,814.5197904761905,871.2697523809525,878.9087904761906
4,Argentina,Net Electricity Production,Hydro,13045.318725000001,11678.985300000002,12278.040725,11061.955,12259.094125000001,12622.198199999999,12091.986499999999,11165.1443,10079.579899999997,10323.754125000001,11270.9781,12873.901875,12811.573249999998,11245.715400000001,12212.84605,11786.156625,12321.150125,12630.724874999996,12668.956725,12042.179399999999,11038.537749999998,10734.39865,11046.460275000001,12193.99365,12671.861475000002,11502.603875,12141.8642,12256.073374999998,13227.377524999998,12554.850375,12711.632325,11891.211749999999,10225.194975,10637.44245,11209.889874999999,12598.295049999999,13316.016200000002,12072.48475,12625.298249999998,12574.025125000004,13205.974825000001,12460.420650000002,12574.98695,11476.3706,10423.60285,10789.548824999998,11573.73885,12535.757475000002,13081.268902439026,11977.522,13122.760097560975,12449.193731707315,12515.103902439023,12100.74507317073,12263.013756097562,11803.357926829269,10175.771853658536,10189.381219512192,11269.485999999999,12509.79504878049,2519.945,2032.279,2142.899,1890.171,1827.25,2736.168,3158.168,3343.331,3460.589,3402.642,2461.563,2868.537,2879.946,2642.561,2310.101,2367.2,2836.279,2444.729,2140.885,2023.766,2206.687,2346.972,2514.232,2603.387,2710.078,2462.237,2456.312,2149.589,2494.18,2492.291,2224.739,2505.627,2559.332,2988.144,3351.067,2971.606,2825.4957,2442.0404,2360.3319,2267.9021,2242.8179,2672.0406,3055.4521,2766.191,2256.4433,2695.0252,3092.6417,3189.3956,2694.0684,1982.7133,2154.4827,1939.1236,2171.9999,2082.3117,2330.7422,2571.468,2301.237,2186.8036,2438.1799,2381.3022,2392.7093,1953.2474,1853.7241,1378.2762,1620.6222,2170.2652,2934.9802,1967.9629,1897.7964,1905.4022,1679.8125,1859.0645,1736.1104,2038.4291,1629.3355,1229.3087,1632.2826,1408.3335,1442.8091,1292.0849,1797.1697,1943.3977,1674.5329,1580.2811,1607.1652,1121.1893,1320.5531,1736.2156,1795.9127,2368.6684,1936.3466,2087.5529,1825.2276,2958.0247,2922.8411,2294.9931,2097.6419
5,Argentina,Net Electricity Production,Natural Gas,21451.930820512815,19114.846974358974,19483.102153846154,18441.964743589742,18899.150999999998,20829.182615384616,24087.760153846153,24594.78958974359,21296.1301025641,19885.712846153845,19431.754794871795,21966.13941025641,22339.42717948718,19467.221615384617,20272.616333333335,18599.8861025641,19471.529794871796,20837.025820512823,24843.079410256414,24816.190948717947,21668.11261538462,20054.184384615382,20359.228999999996,21989.561538461538,23141.720128205125,22936.266846153845,22104.43848717949,20748.35587179487,21767.96041025641,22813.74241025641,26115.716948717953,25418.26358974359,22053.115769230768,20816.530076923074,20179.502076923076,21626.48005128205,22888.876153846155,20557.69328205128,21127.28705128205,18964.2917948718,19185.536743589746,20919.64271794872,23945.71505128205,23725.87653846154,21260.639717948718,20278.413461538465,20384.12030769231,22232.50974358974,21514.301124999998,18643.125875,19249.90995,17873.039899999996,19172.514250000004,20738.54135,23121.0468,23291.368900000005,21805.751774999993,20785.707925000002,19841.919675000005,21546.5266,6767.06,6673.424,7363.379,6962.605,7112.067,6294.628,5653.678,5303.498,5331.615,5023.479,5170.796,6265.463,7360.184,7174.517,6515.623,6072.343,5918.271,6639.911,7208.433,6693.468,5981.143,6006.182,5821.073,7295.052,8155.811,6928.183,7090.955,6520.064,7260.554,7267.15,8842.653,7423.24,6372.487,5805.761,6225.9,7903.744,8344.9223,7495.6857,7893.8952,7488.1914,7403.8552,7620.2954,8109.1321,7640.3211,7528.7627,6671.7715,6120.958,7169.6647,7902.8671,7369.1594,6972.2648,6748.3905,6866.8,6951.8512,7543.2281,7072.4324,6571.426,7142.7751,6984.5984,7418.1718,7415.1231,7270.3051,7995.2466,6370.1373,6729.9543,6773.0636,6357.5234,6389.8907,6344.8307,7071.048,7080.7475,7148.6772,7751.7979,6459.9251,7051.2571,6232.8836,6185.3412,7380.9826,7630.035,8029.2923,6251.8294,5642.5032,6161.5959,7535.329,7866.1124,6517.0817,6109.8037,5395.0922,6020.4833,5976.6435,6329.4854,5322.63,4906.4903,5103.4207,5576.3548,5570.1858,7174.739
6,Argentina,Net Electricity Production,Not Specified,353.2874137931035,352.2093448275862,355.3668620689655,364.61582758620693,365.91789655172414,367.1420344827586,368.26562068965524,370.9081034482758,371.10562068965515,370.88506896551723,367.3945862068965,369.8751379310345,370.42371428571425,387.0021428571428,384.49042857142865,386.63685714285714,382.57200000000006,381.91028571428575,391.29900000000004,388.5687142857143,386.6357142857143,390.6542857142858,386.8775714285715,390.6964285714286,388.82585714285716,388.5058571428571,388.06957142857135,389.43285714285713,388.8877142857142,387.073,382.6588571428571,382.3225714285714,384.65842857142854,388.5807142857143,385.8987142857142,388.24499999999995,387.72058620689654,376.33286206896554,380.12279310344826,391.07203448275857,386.93024137931036,386.76968965517233,393.6094137931034,392.02706896551723,388.8030689655172,388.7593448275862,391.5510689655172,397.3579655172414,391.56172413793104,396.38420689655175,402.6704137931034,393.7028275862069,386.59689655172417,382.8356551724138,391.52103448275864,387.4473793103449,385.9482068965517,391.6151034482759,395.3247586206897,390.3512413793104,318.3076764705882,311.70567647058823,317.21191176470586,318.47591176470587,321.85191176470596,318.4350882352942,324.5105,324.6689705882353,319.1629705882353,326.8921470588235,321.2396764705883,323.3816764705882,354.58440625,353.60353125,357.44790624999996,366.6357812500001,285.08940625,307.33353125,353.44028125,370.38303125000004,357.92103125,335.28003125000004,322.43890625,382.72290625,375.2147575757576,370.8595454545455,417.3893125,244.67796875,251.9723125,268.40321875,333.8059375,366.71729032258065,342.44903125,358.41456250000005,380.58546875,387.49134375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.89205555555554,391.14142962962956,407.05198461538464,403.946773076923,399.58563846153845,396.82843076923075,392.28475769230766,405.67962800000004,392.1488799999999,391.2921346153846,395.216716,382.5306538461539,395.38758076923074
7,Argentina,Net Electricity Production,Nuclear,30845.700000000004,27684.311076923077,28311.33630769231,25713.693538461543,26564.776153846153,26684.239384615386,28479.744769230772,28716.224461538466,27192.92923076923,28056.14928,27794.56292307692,31229.008615384617,31726.699346153844,28487.868269230767,28710.032461538452,24729.3088076923,24237.627269230765,24933.49707692307,26751.463461538464,25986.194076923075,24137.87965384615,23838.125730769225,24259.558346153844,27016.277192307694,27565.35003846154,24748.575230769227,24396.043538461538,21915.58673076923,22257.317576923077,23020.893480000002,23864.1525,24012.82757692307,23009.6245,23070.176576923073,23157.208730769227,25945.86165384615,27325.05553846154,23712.300615384615,24635.354923076928,21935.042615384617,21961.992000000002,22552.11276923077,24404.899538461545,24490.047692307693,22945.741076923077,26304.058434782604,26225.953999999998,27556.465440000007,28563.25024,24933.15936,25381.3448,22817.36368,23427.352,23976.35568,25744.59136,25130.911040000003,24283.20304,24368.826559999994,25138.977600000002,28120.66864,559.079,610.064,631.876,356.188,339.552,424.153,880.549,607.935,383.907,247.742,626.515,976.517,692.075,672.296,601.438,717.686,763.044,702.222,686.94,504.066,538.127,754.59,651.717,535.968,643.307,640.168,514.62,244.192,195.725,243.79,254.571,627.465,615.818,622.182,511.901,656.872,644.6919,577.4931,509.8864,580.6021,759.6601,748.468,713.1307,671.1736,314.9383,399.5385,380.0609,214.6634,201.4835,302.1093,530.2121,643.5017,841.1869,746.0853,740.595,870.359,878.5485,716.1968,765.2331,733.9571,795.3313,809.144,932.5598,980.5793,1019.193,931.6715,740.6348,895.9666,884.8493,694.5088,681.8682,698.1081,681.4815,531.3618,714.4851,534.0421,719.7501,1069.5852,1107.262,1068.5919,782.6645,913.7695,1070.4126,1030.7934,981.9164,897.7875,756.038,661.3989,632.7073,682.5585,741.0443,953.623,703.7888,68.2397,34.6218,395.4625,636.1936
8,Argentina,Net Electricity Production,Oil and Petroleum Products,2906.35625,2342.5262750000006,2409.4616410256413,1867.3522,1971.968175,2261.44305,2792.974725,3118.4423589743596,2752.8009,1753.0146666666667,1965.6755749999998,2582.9467692307685,3299.269974358974,2248.6889249999995,2517.006575,1826.3104749999998,2035.879410256411,2103.263650000001,2307.5769,2527.2396750000003,2418.8299999999995,2709.5463500000005,2773.5624,3574.095725,3784.536475,3865.7874749999996,3175.5288250000003,2911.2924,2896.8159499999997,2846.071675,2891.32045,3233.0111500000003,2929.9464250000005,2845.417475,2838.1892999999995,3541.4606999999996,3812.44795,3081.4290749999996,2581.3331499999995,2471.22635,2448.118625,2363.3037250000007,2728.758175,2882.2948750000005,1974.5012000000002,2472.7108250000006,2490.2065000000002,2892.79725,3902.037384615385,3223.601102564103,2923.321564102565,2199.7311794871794,2163.57341025641,2059.3709743589748,2278.3973846153845,1967.826333333333,1646.4052820512823,1852.5677692307695,2034.4906923076924,2850.572384615385,1856.738,1670.965,1903.254,1383.536,1902.151,2220.845,1969.849,1645.941,1606.297,1646.181,1228.492,1675.46,1754.471,1872.046,1253.15,1415.195,2003.11,1893.802,2116.562,1591.317,1378.108,1183.718,1151.12,1816.128,1389.877,1302.301,1315.305,902.217,767.017,1573.502,989.626,589.612,765.641,529.796,132.583,687.648,798.9751,1060.8005,527.9277,736.8802,366.0921,1132.9512,967.8122,552.0654,80.9072,35.4483,46.6616,85.1458,283.8862,813.9008,41.7964,41.3014,38.361,346.2331,475.9943,278.6812,250.5144,397.6753,151.493,120.1795,901.1946,369.3347,283.2139,16.0492,21.0614,461.002,1290.4205,514.0404,222.956,46.6506,1060.2481,1130.5938,1380.3909,515.3581,672.5139,812.1362,1402.752,1345.1075,1196.5237,666.5549,769.9771,844.3849,635.4428,1309.6775,1675.5663,986.397,1682.333,800.2729,1623.2025,2315.9104,1487.5158,1258.4343,952.3723,46.0118,1162.7246,2170.0778,1986.6753
9,Argentina,Net Electricity Production,Other Combustible Non-Renewables,362.3801176470588,329.66670588235297,349.1208529411765,384.12535294117646,381.4147058823529,390.468588235294,428.0875294117646,438.83702941176466,416.95664705882353,408.7346470588235,416.40623529411766,440.8483529411764,483.0074117647059,443.04026470588235,472.98038235294126,397.0495882352941,407.3745882352941,406.1714411764705,445.7448529411765,437.78373529411766,421.9761764705882,432.65450000000004,454.46964705882357,491.4264411764707,488.7544,487.08942857142847,467.90728571428565,420.9194857142857,412.63194285714275,407.32294285714283,443.8783999999999,454.30522857142853,430.55331428571424,429.6513428571428,445.77102857142853,478.3593142857142,458.23337837837846,423.84818918918916,434.28227027027026,382.3097567567567,378.08532432432435,374.9777567567568,418.46210810810817,423.4818378378379,394.72335135135137,405.5862432432432,411.15937837837834,439.86545945945943,452.657972972973,403.05443243243246,436.10070270270273,390.7407837837838,397.45345945945945,399.76127027027024,428.2134054054054,426.453945945946,404.89364864864865,424.77313513513513,438.33272972972975,485.8047837837838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.05788222222225,404.7128755555556,497.43940999999995,468.75155750000005,467.31025,478.044925,511.9522250000001,515.9983025,473.7765780487805,489.9610775,511.27135789473687,539.4945102564103,531.9960717948718
