Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,384004.5794096916,137590.832,139172.17,137915.225,139188.1171,132462.313,137574.6216,143401.2039,139954.9559,13805.2039
Australia,236625.00699999998,238983.888,236509.201,231363.001,238212.236,241062.0316,245911.3671,245281.239,247769.7985,251773.4472,252024.5702,255688.9426,262333.48099999997,22963.2021
Austria,67609.396,62491.736,69315.21399999999,65299.695999999996,62237.598,61957.722,64960.518000000004,68093.591,65383.7108,70773.9122,68627.874,68084.269,65079.2935,5319.294
Belgium,91485.999,86659.001,79783.001,80280.002,69817.6,67379.3,82456.997,83116.901,71984.3002,89913.3999,86055.1,96625.10010000001,91877.099,8400.9253
Brazil,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,384004.5794096916,564061.9569999999,563307.719,573079.821,585760.1424,611385.7128,606880.1157,639071.9768,639585.2823,55376.7549
Bulgaria,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,384004.5794096916,44727.001000000004,41221.004,41347.142,42711.2903,40346.135,37234.936,43457.8108,45740.9522,4018.6951
Canada,585443.001,614396.0,614737.0009999999,639533.999,641276.0,638493.999,644436.994,644141.001,635394.0001000001,627229.0001,623468.4198,625271.0,638446.8122,62122.2799
Chile,58334.001000000004,63189.001000000004,65840.0,69744.002,69451.99799999999,72028.999,76453.99799999999,77028.199,79882.471,82100.1769,81920.7324,85560.3781,88421.4967,7589.2641
Colombia,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,69027.299,76121.996,74461.27,77385.716,77688.1507,78078.7039,77087.0685,81765.6443,85004.9626,7237.9752
Croatia,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,384004.5794096916,10983.0,12284.001,11522.899,13181.6,12250.1,12875.1001,14728.1999,13982.3824,1628.0218
Cyprus,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,384004.5794096916,4313.516,4667.638,4778.279,4827.281,4913.788,4650.3171,4880.841,5015.2968,410.4862
Czech Republic,78302.003,79908.001,80309.0,79777.00200000001,79116.0,76915.99799999999,76398.444,79885.765,80861.141,80116.4329,75067.2749,78542.5841,78234.255,7214.2945
Denmark,36871.999,33548.744,29200.388,33138.123,30815.249,27921.142,29081.069,29638.3,29314.299899999998,28689.8181,27700.367,31912.3029,33322.568,3586.5079
Estonia,11732.0,11667.001,10527.0,11823.0,11013.001,9062.0,10433.679,11248.49,10932.8022,6600.1,5100.292,6476.4953000000005,6265.7886,453.621
Finland,77219.739,70413.3,67706.75,68353.451,65457.754,66153.524,66203.234,65043.187,67532.668,66052.4785,66599.4321,69398.7135,70214.7223,7511.0458
France,544298.85,548252.765,548012.838,557770.899,548505.966,555126.785,540419.76,537849.221,557797.81,547040.4799,509249.7246,532497.1109,452168.406,49860.284
Germany,594414.001,576247.0,591431.0,600925.998,590874.002,610292.0,614332.0,619053.007,608912.0,575863.9999,544893.9999,558487.9999,552481.2019,49828.306
Greece,53389.001000000004,53913.312,53654.0,52560.001000000004,46702.0,47806.001,50226.808000000005,50589.214,50083.654200000004,45556.9999,43034.9191,53055.9581,49426.3645,3317.697
Hungary,34612.85,33533.444,32350.908,28030.621,27141.001,28150.033,29548.009,30698.996,29866.0,32137.0001,32913.9999,34147.9999,33731.7674,2728.1622
IEA Total,10331135.572,10297993.152,10288783.629,10283031.819,10259316.3,10296112.7656,10364332.8561,10395781.997,10605380.4228,10464926.7453,10158290.1974,10484328.378899999,10584762.6292,922285.1576
