,Country,Balance,Product,January-2015,February-2015,March-2015,April-2015,May-2015,June-2015,July-2015,August-2015,September-2015,October-2015,November-2015,December-2015,January-2016,February-2016,March-2016,April-2016,May-2016,June-2016,July-2016,August-2016,September-2016,October-2016,November-2016,December-2016,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,July-2022,August-2022,September-2022,October-2022,November-2022
0,Argentina,Net Electricity Production,"Coal, Peat and Manufactured Gases",195.203,203.211,247.979,254.968,280.55,209.232,267.781,214.414,99.689,269.088,277.518,228.149,202.149,250.337,156.701,59.612,46.442,97.998,263.314,281.984,281.148,173.867,176.455,233.181,212.805,231.919,161.681,276.379,201.56,181.451,222.81,184.201,124.212,148.861,,164.896,275.3227,246.1544,288.844,189.0145,137.0785,303.2648,318.1229,277.1856,61.084,46.3964,0.0,0.0,10.3505,123.1177,0.0,0.0,100.0751,149.0908,310.0549,0.0,190.1562,48.021,18.0113,235.9043,61.2653,120.1288,198.4896,0.0,24.4611,98.864,430.8513,320.9284,54.2578,0.0,201.8526,343.7514,288.9077,36.8251,212.3287,308.5321,366.8754,317.2511,320.6134,317.5748,372.1962,161.4677,322.9567,284.4318,275.1321,219.7473,220.2299,255.5503,216.4407,334.0161,286.1778,195.7609,101.6165,,90.2309
1,Argentina,Net Electricity Production,Combustible Renewables,56.234,49.518,86.054,103.722,68.275,102.177,125.307,116.145,120.185,123.486,93.069,76.337,45.439,42.15,47.548,23.65,212.249,577.089,23.406,23.982,43.329,42.081,32.947,25.409,84.491,93.89,102.999,57.947,56.411,109.501,136.696,139.01,148.086,147.137,129.591,97.783,60.912,65.5695,53.7996,56.9715,104.213,146.93,151.345,155.4577,142.5044,123.4445,118.5343,96.7115,67.9746,81.9778,102.9188,97.5631,119.8157,155.9184,159.4721,159.0972,164.1207,160.4772,145.8669,135.7053,114.293,98.9462,115.0912,119.7903,132.1171,192.661,212.4856,226.1044,227.6446,223.5902,228.5295,237.564,219.076,201.5874,212.183,214.564,244.2078,317.1383,308.7152,343.993,330.2031,335.9633,306.5691,277.9529,178.17,164.5423,164.8761,170.1682,176.8444,185.8822,210.7904,214.1896,197.338,197.4284,187.0969
2,Argentina,Net Electricity Production,Electricity,12007.063,11283.226,12417.895,10996.635,11578.94,12043.21,12108.865,11284.062,11052.421,10766.231,9905.055,12147.229,12984.29,12699.66,10935.518,10707.574,11813.338,12398.284,12481.242,11164.818,10474.386,10553.205,10394.708,12565.147,13253.674,11701.303,11686.493,10197.063,11017.506,11922.293,12723.283,11523.982,10633.552,10297.892,10407.438,12550.746,13007.681,11934.5735,11686.5512,11380.0037,11077.2941,12715.4039,13408.979,12205.4458,10542.5913,10172.4471,10005.8674,11051.2791,11486.3519,10947.0886,10157.7029,9847.2049,10508.1545,10877.9602,12030.9486,11462.009,10965.4341,11263.9939,11174.5203,11740.9441,12462.5357,11348.4998,12134.0451,9550.5272,10341.3048,11411.0626,12782.5648,11321.6539,10600.5178,10992.2283,11983.6059,12646.0757,13786.0957,11534.5188,12243.835,10874.7819,12040.8887,13441.8635,13889.2367,13704.2539,12146.8928,11906.4638,12158.21,13820.4649,14018.948,11194.3161,11770.8415,10452.097,11777.3385,13104.2798,12380.0247,11426.7488,10062.2439,9970.3295,11408.9182
3,Argentina,Net Electricity Production,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,Argentina,Net Electricity Production,Hydro,2519.945,2032.279,2142.899,1890.171,1827.25,2736.168,3158.168,3343.331,3460.589,3402.642,2461.563,2868.537,2879.946,2642.561,2310.101,2367.2,2836.279,2444.729,2140.885,2023.766,2206.687,2346.972,2514.232,2603.387,2710.078,2462.237,2456.312,2149.589,2494.18,2492.291,2224.739,2505.627,2559.332,2988.144,3351.067,2971.606,2825.4957,2442.0404,2360.3319,2267.9021,2242.8179,2672.0406,3055.4521,2766.191,2256.4433,2695.0252,3092.6417,3189.3956,2694.0684,1982.7133,2154.4827,1939.1236,2171.9999,2082.3117,2330.7422,2571.468,2301.237,2186.8036,2438.1799,2381.3022,2392.7093,1953.2474,1853.7241,1378.2762,1620.6222,2170.2652,2934.9802,1967.9629,1897.7964,1905.4022,1679.8125,1859.0645,2173.3281,2551.7819,2039.6632,1538.8947,2043.3525,1763.0046,1806.1625,1617.4803,2249.7644,2432.8181,2096.243,1978.255,1607.1652,1121.1893,1320.5531,1736.2156,1795.9127,2368.6684,1936.3466,2087.5529,1825.2276,2958.0247,2922.8411
5,Argentina,Net Electricity Production,Natural Gas,6767.06,6673.424,7363.379,6962.605,7112.067,6294.628,5653.678,5303.498,5331.615,5023.479,5170.796,6265.463,7360.184,7174.517,6515.623,6072.343,5918.271,6639.911,7208.433,6693.468,5981.143,6006.182,5821.073,7295.052,8155.811,6928.183,7090.955,6520.064,7260.554,7267.15,8842.653,7423.24,6372.487,5805.761,6225.9,7903.744,8344.9223,7495.6857,7893.8952,7488.1914,7403.8552,7620.2954,8109.1321,7640.3211,7528.7627,6671.7715,6120.958,7169.6647,7902.8671,7369.1594,6972.2648,6748.3905,6866.8,6951.8512,7543.2281,7072.4324,6571.426,7142.7751,6984.5984,7418.1718,7415.1231,7270.3051,7995.2466,6370.1373,6729.9543,6773.0636,6357.5234,6389.8907,6344.8307,7071.048,7080.7475,7148.6772,8256.7512,6880.7257,7510.5771,6638.8946,6588.2553,7861.781,8127.0566,8552.3217,6659.0746,6010.0567,6562.9632,8026.1815,7866.1124,6517.0817,6109.8037,5395.0922,6020.4833,5976.6435,6329.4854,5322.63,4906.4903,5103.4207,5576.3548
6,Argentina,Net Electricity Production,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
7,Argentina,Net Electricity Production,Nuclear,559.079,610.064,631.876,356.188,339.552,424.153,880.549,607.935,383.907,247.742,626.515,976.517,692.075,672.296,601.438,717.686,763.044,702.222,686.94,504.066,538.127,754.59,651.717,535.968,643.307,640.168,514.62,244.192,195.725,243.79,254.571,627.465,615.818,622.182,511.901,656.872,644.6919,577.4931,509.8864,580.6021,759.6601,748.468,713.1307,671.1736,314.9383,399.5385,380.0609,214.6634,201.4835,302.1093,530.2121,643.5017,841.1869,746.0853,740.595,870.359,878.5485,716.1968,765.2331,733.9571,795.3313,809.144,932.5598,980.5793,1019.193,931.6715,740.6348,895.9666,884.8493,694.5088,681.8682,698.1081,681.4732,531.3554,714.4764,534.0356,719.7414,1069.5723,1107.2487,1068.579,782.6551,913.7584,1070.3997,1030.7809,981.9164,897.7875,756.038,661.3989,632.7073,682.5585,741.0443,953.623,703.7888,68.2397,34.6218
8,Argentina,Net Electricity Production,Oil and Petroleum Products,1856.738,1670.965,1903.254,1383.536,1902.151,2220.845,1969.849,1645.941,1606.297,1646.181,1228.492,1675.46,1754.471,1872.046,1253.15,1415.195,2003.11,1893.802,2116.562,1591.317,1378.108,1183.718,1151.12,1816.128,1389.877,1302.301,1315.305,902.217,767.017,1573.502,989.626,589.612,765.641,529.796,132.583,687.648,798.9751,1060.8005,527.9277,736.8802,366.0921,1132.9512,967.8122,552.0654,80.9072,35.4483,46.6616,85.1458,283.8862,813.9008,41.7964,41.3014,38.361,346.2331,475.9943,278.6812,250.5144,397.6753,151.493,120.1795,901.1946,369.3347,283.2139,16.0492,21.0614,461.002,1290.4205,514.0404,222.956,46.6506,1060.2481,1130.5938,926.3419,345.8425,451.3054,545.002,941.3478,902.6642,802.9537,447.3064,516.7102,566.6432,426.428,878.8881,1675.5663,986.397,1682.333,800.2729,1623.2025,2315.9104,1487.5158,1258.4343,952.3723,46.0118,1162.7246
9,Argentina,Net Electricity Production,Other Combustible Non-Renewables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
10,Argentina,Net Electricity Production,Other Renewables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
11,Argentina,Net Electricity Production,Solar,1.511,1.262,1.313,1.192,1.123,0.975,1.04,1.12,1.36,1.214,1.337,1.465,1.298,1.32,1.257,0.823,0.513,0.751,1.114,1.297,1.307,1.348,1.412,1.477,1.516,1.235,1.381,1.077,1.136,1.122,1.15,1.363,1.39,1.619,1.634,1.701,1.6132,1.411,2.0048,1.7048,1.2501,1.27,3.1772,7.251,10.987,14.223,23.8315,38.7888,40.1105,43.4479,50.3493,49.9768,41.7789,40.4754,53.5706,66.3814,84.7567,95.5121,108.1538,117.3301,105.9125,83.6179,97.6025,79.3179,71.9245,59.5207,66.5484,85.8353,124.1807,149.8101,192.6109,214.2726,193.058,168.4395,159.4615,144.1641,121.8275,104.7319,137.814,163.6004,192.7347,263.6656,277.0935,247.4256,254.8534,243.9444,261.7994,227.9239,186.7538,157.527,175.706,229.2928,258.3908,313.2688,301.4587
12,Argentina,Net Electricity Production,Total Combustible Fuels,8875.235,8597.118,9600.665,8704.831,9363.043,8826.882,8016.615,7279.999,7157.786,7062.234,6769.876,8245.409,9362.242,9339.051,7973.022,7570.801,8180.072,9208.799,9611.715,8590.75,7683.728,7405.849,7181.594,9369.77,9842.985,8556.293,8670.94,7756.606,8285.542,9131.604,10191.786,8336.063,7410.425,6631.554,6488.074,8854.071,9480.1321,8868.21,8764.4664,8471.0576,8011.2388,9203.4415,9546.4122,8625.0298,7813.2583,6877.0606,6286.1539,7351.522,8265.0782,8388.1556,7116.98,6887.255,7125.0518,7603.0936,8488.7493,7510.2109,7176.2173,7748.9486,7299.9696,7909.9609,8491.876,7858.7148,8592.0413,6505.9769,6907.5939,7525.5906,8291.2808,7450.9639,6849.689,7341.2888,8571.3776,8860.5864,9691.0768,7464.9806,8386.3941,7706.9927,8140.6862,9398.8346,9559.339,9661.1959,7878.184,7074.1309,7618.917,9467.4544,9994.9809,7887.7684,8177.2426,6621.0836,8036.971,8812.4523,8313.9693,6991.0148,6157.8171,5346.8608,7016.4072
13,Argentina,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",2628.984,2125.563,2271.408,2039.338,1944.62,2894.352,3337.008,3512.273,3630.913,3579.741,2601.733,3001.64,2975.411,2730.463,2408.606,2442.737,3082.471,3064.351,2205.994,2093.984,2295.86,2434.847,2594.344,2684.817,2851.873,2598.733,2603.932,2254.211,2592.65,2656.4,2413.622,2699.465,2755.395,3191.293,3537.055,3137.586,2943.7691,2554.4398,2465.998,2385.3155,2410.6081,2910.4244,3300.781,3064.7,2556.8991,3019.2924,3458.1869,3581.8052,3087.7647,2338.8014,2613.4296,2414.0113,2661.7315,2684.6998,2961.0763,3240.5363,3074.789,2959.3257,3255.1845,3232.7314,3289.6214,2779.5872,2724.5352,2183.7614,2546.6351,3146.4615,3963.1348,3200.8278,3093.6241,3180.0208,2958.8895,3324.9451,3632.6217,3739.7701,3355.1475,2848.3176,3424.6688,3290.5949,3531.3642,3318.472,3816.2568,4254.5377,3775.4625,3600.1826,3220.2207,2573.3026,3002.437,3339.7827,3284.5047,3795.1512,3535.8014,3696.3006,3397.9761,4752.6573,4544.9862
14,Argentina,Net Electricity Production,Wind,51.294,42.504,41.142,44.253,47.972,55.032,52.493,51.677,48.779,52.399,45.764,55.301,48.728,44.432,49.699,51.064,33.429,41.783,40.589,44.938,44.537,44.446,45.753,54.544,55.788,41.371,43.241,45.599,40.923,53.486,51.038,53.465,46.587,54.393,54.762,66.496,55.7481,45.4189,49.8618,58.7371,62.327,90.1838,90.8067,135.8003,146.9644,186.5997,223.1793,256.9093,285.6112,230.6625,305.6787,327.3478,328.137,405.9942,417.2914,443.5897,524.6745,516.5327,562.9839,598.3938,676.7066,643.7757,658.1173,606.377,721.9713,724.0146,749.1206,920.9252,844.0024,901.2183,857.9366,1014.044,1047.1597,817.9614,943.8398,950.6948,1015.2811,1105.72,1278.6725,1193.3983,1043.5547,1222.0907,1095.5569,1096.549,1180.032,1043.6265,1255.2084,1205.4749,1124.9937,1083.0736,1212.9584,1165.2652,1117.0196,1283.9354,1133.5894
15,Australia,Distribution Losses,Electricity,798.9013,733.5447,785.834,735.1881,788.7621,783.3114,858.822,816.7916,746.8036,749.8069,752.5672,800.1073,1048.0177,1022.4627,1059.3978,960.4428,1006.1143,1062.8335,1175.517,1111.993,1031.979,1021.703,1042.865,1067.155,904.0241,826.6674,868.2926,761.5374,839.6541,865.5927,893.2579,878.1252,801.5961,802.8085,811.5197,863.7025,905.3431,802.2567,843.2939,790.3141,836.3902,872.6869,888.3212,876.3862,801.2352,802.017,795.9526,854.3775,891.0822,768.8261,826.9388,739.1876,797.9281,819.1085,841.0174,836.2217,755.3547,771.2363,769.1248,838.3472,872.2352,808.2598,801.8214,740.0371,801.3155,825.9973,867.1156,838.3136,750.5781,766.232,801.6341,845.604,863.5762,874.2879,935.1251,876.4952,932.5366,967.8063,1016.4888,956.6238,885.7965,906.2037,891.5757,966.5667,1029.6725,906.822,972.043,879.1574,956.9547,993.4454,1036.3475,1001.2738,926.524,925.7641,900.0256
